이름,도로명주소,방문자 평점,상세페이지URL
보돌미역 광교 서씨점,경기 수원시 영통구 센트럴파크로127번길 80-5,4.29,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1825483885
콩지팥찌,경기 수원시 장안구 광교산로 160,4.09,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1543843703
상전,경기 수원시 장안구 광교산로 138 2층,4.64,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1122275930
인기명 수원광교점,"경기 수원시 영통구 센트럴타운로 107 월드스퀘어 1층 9, 10호",4.31,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1357107751
신복관 광교점,"경기 수원시 영통구 센트럴타운로 107 광교푸르지오 월드스퀘어 1층 1-7,1-8호",4.48,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/38555029
전주콩나물국밥,경기 수원시 장안구 광교산로138번길 1 2층,4.47,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1433538028
삼육공 광교점,경기 수원시 영통구 센트럴파크로127번길 115-3 1층,4.42,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/38637822
행복한밥상,경기 수원시 장안구 창훈로60번길 50 2층,4.58,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1376699771
이차돌 광교중앙역점,경기 수원시 영통구 센트럴타운로 106 108~110호,4.45,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1531590859
금터민물매운탕,경기 수원시 장안구 월드컵로428번길 6,4.41,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/18008350
